time,content,Cleaned,Sentiment_polarity,Sentiment_subjectivity
2019-10-30 23:58:47,RT @AprilDRyan: My weekly #AURN @aurnonline On the Record #podcast with the cast of #Harriet https://t.co/tEp3I1920J,aprildryan weekly aurn aurnonline record podcast cast harriet,0.0,0.0
2019-10-30 23:57:52,If they gave #Harriet to Viola Davis like they were supposed to they’d be getting BP numbers and record breaking bu… https://t.co/UQvHPdKN19,gave harriet viola davis like supposed getting bp number record breaking bu,0.0,0.0
2019-10-30 23:57:31,#Harriet 01 November 2019 #BeFreeOrDie,harriet november befreeordie,0.0,0.0
2019-10-30 23:56:50,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz",behembaba best review read harriet bad movie ado breakingbrown,0.15000000000000008,0.4833333333333333
2019-10-30 23:56:42,RT @thefilmpoll: Which new release will you see this w/end? #ArcticDogs #ArcticDogsMovie #JeremyRenner #Harriet #HarrietMovie #HarrietTubma…,thefilmpoll new release see w end arcticdogs arcticdogsmovie jeremyrenner harriet harrietmovie harriettubma,0.13636363636363635,0.45454545454545453
2019-10-30 23:54:41,RT @AMCArtisanFilms: Watch this exclusive clip from #HARRIET. Witness the miraculous story of Harriet Tubman this weekend at AMC. https://t…,amcartisanfilms watch exclusive clip harriet witness miraculous story harriet tubman weekend amc,0.0,0.0
2019-10-30 23:53:11,RT @honeydelasoul: I do not support the #Harriet movie @foxsearchlight. I won’t see it. The disrespect of @CynthiaEriVo towards Harriet’s #…,honeydelasoul support harriet movie foxsearchlight see disrespect cynthiaerivo towards harriet,0.0,0.0
2019-10-30 23:52:38,RT @HarrietFilm: Don't miss @CynthiaEriVo's incredible portrayal of the legendary freedom fighter. #HARRIET is in theaters Friday. https://…,harrietfilm miss cynthiaerivo incredible portrayal legendary freedom fighter harriet theater friday,0.95,0.95
2019-10-30 23:52:28,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz",behembaba best review read harriet bad movie ado breakingbrown,0.15000000000000008,0.4833333333333333
2019-10-30 23:49:52,RT @MaLumiere: Forever and Ever and Ever. Amen. #HarrietTubman #HarrietMovie #Harriet #HarrietDeservesBetter https://t.co/xgZD63sPSi,malumiere forever ever ever amen harriettubman harrietmovie harriet harrietdeservesbetter,0.0,0.0
2019-10-30 23:47:41,Forever and Ever and Ever. Amen. #HarrietTubman #HarrietMovie #Harriet #HarrietDeservesBetter https://t.co/xgZD63sPSi,forever ever ever amen harriettubman harrietmovie harriet harrietdeservesbetter,0.0,0.0
2019-10-30 23:47:28,RT @HarrietFilm: Don't miss @CynthiaEriVo's incredible portrayal of the legendary freedom fighter. #HARRIET is in theaters Friday. https://…,harrietfilm miss cynthiaerivo incredible portrayal legendary freedom fighter harriet theater friday,0.95,0.95
2019-10-30 23:46:38,"RT @HistoryExtra: “It is thought that she rescued around 300 slaves directly – including some of her brothers, their families and her own p…",historyextra thought rescued around slave directly including brother family p,0.1,0.4
2019-10-30 23:46:10,"RT @AMCArtisanFilms: Tickets are on sale now for #HARRIET. :admission_tickets:: https://t.co/3vybM5MsvI

Get tickets now through 11/14 to see the unbelievab…",amcartisanfilms ticket sale harriet admission ticket ticket see unbelievab,0.0,0.0
2019-10-30 23:45:23,"@CynthiaEriVo  Just heard 'Stand Up'.... Sis, that song! Your voice! :fire::fire: I can't even begin to tell you how this son… https://t.co/YaS2gJBdN6",heard stand si song voice fire fire even begin tell son,0.0,0.0
2019-10-30 23:45:16,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz",behembaba best review read harriet bad movie ado breakingbrown,0.15000000000000008,0.4833333333333333
2019-10-30 23:44:49,"MY LATEST: Today’s glut of fictional female movie heroes usually has superpowers and high tech. In real life, tiny… https://t.co/hQXcxVZsoX",latest today glut fictional female movie hero usually superpower high tech real life tiny,0.08714285714285716,0.4152380952380952
2019-10-30 23:44:48,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz",behembaba best review read harriet bad movie ado breakingbrown,0.15000000000000008,0.4833333333333333
2019-10-30 23:42:41,RT @honeydelasoul: I do not support the #Harriet movie @foxsearchlight. I won’t see it. The disrespect of @CynthiaEriVo towards Harriet’s #…,honeydelasoul support harriet movie foxsearchlight see disrespect cynthiaerivo towards harriet,0.0,0.0
2019-10-30 23:41:52,#ROLApproved from @_JazzMarie (@get_regrann)  -  I had the opportunity to chat with director and writer Kasi Lemmon… https://t.co/xwdACEmnjK,rolapproved jazzmarie regrann opportunity chat director writer kasi lemmon,0.0,0.0
2019-10-30 23:40:10,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz",behembaba best review read harriet bad movie ado breakingbrown,0.15000000000000008,0.4833333333333333
2019-10-30 23:39:15,RT @MeccaStarr7: Would you ever go see a movie about the holocaust produced by hitlers grandson?  Nah?  Ok so stop shoving that stupid ass…,meccastarr would ever go see movie holocaust produced hitler grandson nah ok stop shoving stupid as,-0.14999999999999997,0.75
2019-10-30 23:36:44,RT @HarrietFilm: Don't miss @CynthiaEriVo's incredible portrayal of the legendary freedom fighter. #HARRIET is in theaters Friday. https://…,harrietfilm miss cynthiaerivo incredible portrayal legendary freedom fighter harriet theater friday,0.95,0.95
