date,content
2019-10-30 23:08:22,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz"
2019-10-30 23:07:14,RT @AMCArtisanFilms: Get tickets now through 11/14 to see #HARRIET at @AMCTheatres and you'll be entered to win a trip to the @NMAAHC in DC…
2019-10-30 23:07:05,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz"
2019-10-30 23:02:35,RT @Variety: #Harriet producer on the backlash of casting Cynthia Erivo: “I don’t know if it’s because she’s a woman but it is so unfair” s…
2019-10-30 23:00:29,"RT @tonetalks: WATCH: @tonetalks on uncomfortable truths about 
#Harriet film &amp; @Comcast “If you have a lawsuit in the Supreme Court attack…"
2019-10-30 22:59:48,RT @larrywilmore: Saw the great Cynthia Erivo as Harriet Tubman last night. Incredible!! Definitely Oscar worthy! #Harriet  harrietfilm htt…
2019-10-30 22:57:02,Did anyone I know see #Harriet at tiff? Is it worth seeing?
2019-10-30 22:56:32,"RT @Behembaba: This is the best review I've read of #Harriet. It's just a bad movie y'all.

#ADOS #BreakingBrown 

https://t.co/Z8EfLhDimz"
2019-10-30 22:53:29,Last night was truly amazing. Official LA screening of #Harriet at the historic #orpheumtheatre. @cynthiaerivo sang… https://t.co/rEUxn6vuQ7
2019-10-30 22:48:43,Check out these great photos from the L.A. and D.C. @HarrietFilm premieres of editor Wyatt Smith and makeup departm… https://t.co/EOMWg9fTKn
2019-10-30 22:48:21,"RT @tonetalks: WATCH: @tonetalks on uncomfortable truths about 
#Harriet film &amp; @Comcast “If you have a lawsuit in the Supreme Court attack…"
2019-10-30 22:45:58,Most important film of the 2019! #Harriet! #HarrietTubman https://t.co/6LlPHk4I2p
2019-10-30 22:45:26,RT @AMCArtisanFilms: Experience the extraordinary tale of #Harriet Tubman's escape from slavery and transformation into one of America's gr…
2019-10-30 22:41:11,#prescreening #harriet — watching Harriet Movie at Landmark's Keystone Art Cinema https://t.co/lCgwRaVeaz
2019-10-30 22:40:27,RT @AMCArtisanFilms: Watch this exclusive clip from #HARRIET. Witness the miraculous story of Harriet Tubman this weekend at AMC. https://t…
