date,content
2019-10-30 19:39:58,"I can’t wait for #TheIrishman to hit @netflix and watch it as it was intended, as a 5 episode single season of television."
2019-10-30 19:37:50,"You wouldn’t listen to Radiohead’s ‘OK Computer’ on fast-forward, so why watch #TheIrishman that way? https://t.co/2IzGX2SQRU"
2019-10-30 19:19:43,"Absolutely love ❤️ LAB SERIES ❤️ skin care products for men #TheIrishMan  🎥  #MartinScoresese  #film #netflix
Thank… https://t.co/xiVbeXfBGO"
2019-10-30 19:18:11,"RT @THR: “For us to get Marty [Scorsese] at Netflix was a big thing. It was a big win.” Scott Stuber, the head of Netflix's film division,…"
2019-10-30 19:14:59,The Irishman - Al Pacino faces off with Stephen Graham - Clip https://t.co/lhSfQD8Jtg via @YouTube #TheIrishman 🙏
2019-10-30 19:14:35,RT @APEntertainment: NOT A FAT SUIT: The awkward moment with #AlPacino that inspired #RayRomano - his co-star in  #TheIrishman - to get in…
2019-10-30 19:13:59,"BFI London Film Festival - Robert De Niro Screen Talk (Surprise Appearance!)
----
Fangirl time!:… https://t.co/Oyb7nIvYoN"
2019-10-30 19:03:15,"RT @tunein: The CoS staff is here to get you ready for Martin Scorsese's #TheIrishman with a panel discussion about the film, and those dan…"
2019-10-30 19:03:05,Fantastic creative https://t.co/JEYQY9Tkrx #theirishman #dplife #bigideas #filming #periodfilms #martinscorsese #5KC
2019-10-30 19:02:33,"RT @THR: “For us to get Marty [Scorsese] at Netflix was a big thing. It was a big win.” Scott Stuber, the head of Netflix's film division,…"
2019-10-30 19:00:52,"The CoS staff is here to get you ready for Martin Scorsese's #TheIrishman with a panel discussion about the film, a… https://t.co/nI7lKxaD4d"
2019-10-30 19:00:27,"Today's Relevant Content heads to The Bamboo Lounge to talk Martin Scorsese, #TheIrishman, and his comments on the… https://t.co/zswyBEOnwR"
2019-10-30 18:59:09,"RT @TweetTastings: If you registered for our latest @WalshWhiskey @TweetTastings keep your eyes peeled tomorrow, as we'll be selecting and…"
2019-10-30 18:47:49,"RT @THR: “For us to get Marty [Scorsese] at Netflix was a big thing. It was a big win.” Scott Stuber, the head of Netflix's film division,…"
2019-10-30 18:46:04,"“For us to get Marty [Scorsese] at Netflix was a big thing. It was a big win.” Scott Stuber, the head of Netflix's… https://t.co/rFi0mwnF8T"
2019-10-30 18:44:06,RT @Streamlab_za: MovieMaker Magazine What Does ‘I Heard You Paint Houses’ Mean in The Irishman?:: The Irishman is based on “I Heard You Pa…
2019-10-30 18:44:06,RT @Streamlab_za: MovieMaker Magazine What Does ‘I Heard You Paint Houses’ Mean in The Irishman?:: The Irishman is based on “I Heard You Pa…
2019-10-30 18:44:06,RT @Streamlab_za: MovieMaker Magazine What Does ‘I Heard You Paint Houses’ Mean in The Irishman?:: The Irishman is based on “I Heard You Pa…
2019-10-30 18:43:21,"Tentative LIVE show schedule for November:

11/5: #BoJackHorseman, #TheIrishman &amp; #TheMorningShow 
11/12: @TEOTFW &amp;… https://t.co/ZCUf2AVjJI"
2019-10-30 18:41:32,RT @Streamlab_za: MovieMaker Magazine What Does ‘I Heard You Paint Houses’ Mean in The Irishman?:: The Irishman is based on “I Heard You Pa…
2019-10-30 18:41:22,"RT @TweetTastings: If you registered for our latest @WalshWhiskey @TweetTastings keep your eyes peeled tomorrow, as we'll be selecting and…"
2019-10-30 18:41:06,MovieMaker Magazine What Does ‘I Heard You Paint Houses’ Mean in The Irishman?:: The Irishman is based on “I Heard… https://t.co/VKkgtB7Xuj
2019-10-30 18:34:43,"RT @TweetTastings: If you registered for our latest @WalshWhiskey @TweetTastings keep your eyes peeled tomorrow, as we'll be selecting and…"
2019-10-30 18:31:53,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 18:27:26,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 18:27:08,"RT @TweetTastings: If you registered for our latest @WalshWhiskey @TweetTastings keep your eyes peeled tomorrow, as we'll be selecting and…"
2019-10-30 18:26:37,"If you registered for our latest @WalshWhiskey @TweetTastings keep your eyes peeled tomorrow, as we'll be selecting… https://t.co/Odq28ImP1E"
2019-10-30 18:17:55,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 18:15:46,"RT @TODAYshow: Watch @HarrySmith's full interview with #TheIrishman stars Al Pacino, Robert De Niro and Ray Romano. https://t.co/F5XdExVMwB"
2019-10-30 18:08:56,Me watching THE IRISHMAN today. #TheIrishman https://t.co/7g6NqSNLyx
2019-10-30 18:08:26,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 18:03:41,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 18:01:44,"It has been one hell of a wait for Martin Scorese's new film ""The Irishman"". With #RobertDeNiro even claiming that… https://t.co/dRa8bQTUeX"
2019-10-30 17:49:57,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 17:46:50,RT @usatodaylife: Planning on seeing #TheIrishman? Here's what you need to know: https://t.co/yKvzjIwb0X
2019-10-30 17:43:23,"RT @pr_barnett: @mgrant76308 My guess is DiNiro will ruin the true story of Frank Sheeran in #TheIrishman

He's 5'8, playing a man who was…"
2019-10-30 17:40:38,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 17:39:57,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 17:35:33,RT @usatodaylife: Planning on seeing #TheIrishman? Here's what you need to know: https://t.co/yKvzjIwb0X
2019-10-30 17:32:14,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
