date,content
2019-11-01 23:44:03,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:43:54,RT @LaQuetteWrites: It was essentially slavery for the dummy or the delicate white person who can't bear to be reminded of how cruel their…
2019-11-01 23:43:49,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:43:49,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 23:43:40,"RT @LaQuetteWrites: Three, there is this very white and obvious narrative of black slave trackers and bounty hunters being the real represe…"
2019-11-01 23:43:33,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:43:26,"RT @LaQuetteWrites: One, there is very little resemblance to how slaves actually lived. Meaning, the brutality is missing, so white viewers…"
2019-11-01 23:43:22,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:42:06,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:42:05,RT @melsil: Happy opening day to @CynthiaEriVo @kasi_lemmons @DebraMChase Daniela Taplin Lundberg and all those associated with #HarrietMov…
2019-11-01 23:42:00,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 23:41:55,"RT @ManUpUAll: @DebDaughter @KCliffLarson and, And, ANd, AND from this review of #HarrietMovie #CynthiaErivo portrayed the beloved ancestor…"
2019-11-01 23:41:35,RT @pobrecitoshame: Is #HarrietMovie starring a descendant of slave traders???🤔🤔🤔 #CynthiaErivo #WhoYOU  https://t.co/y1wLZ12PJZ
2019-11-01 23:41:26,"@princss6 Rotten Tomatoes only ""verified"" ratings from people who bought tickets via fandango effect the score. Met… https://t.co/5dW00bDSZr"
2019-11-01 23:41:21,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:41:05,RT @LaQuetteWrites: Glossing over a very real history is problematic and disrespectful.  It's also dangerous in times like these when our c…
2019-11-01 23:40:35,"RT @learntech: @BougieBlackGurl Black sororities, social groups, etc. are mobilizing huge groups to support this movie. 

I hope they have…"
2019-11-01 23:40:32,"RT @LaQuetteWrites: Again, it’s  also problematic because its gaze makes blacks co-conspirators in their own bondage by making Harriet’s ad…"
2019-11-01 23:40:14,"RT @LaQuetteWrites: The acting was great. This is not about performance, but perspective.  It's a distilled version of the facts told throu…"
2019-11-01 23:40:12,RT @LaQuetteWrites: Glossing over a very real history is problematic and disrespectful.  It's also dangerous in times like these when our c…
2019-11-01 23:39:56,RT @LaQuetteWrites: This is why critical analysis of the media and literature we consume is so important. If you don't recognize when the t…
2019-11-01 23:39:54,RT @LaQuetteWrites: It was essentially slavery for the dummy or the delicate white person who can't bear to be reminded of how cruel their…
2019-11-01 23:39:50,"RT @LaQuetteWrites: Again, it’s  also problematic because its gaze makes blacks co-conspirators in their own bondage by making Harriet’s ad…"
2019-11-01 23:39:41,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 23:39:36,"RT @LaQuetteWrites: Three, there is this very white and obvious narrative of black slave trackers and bounty hunters being the real represe…"
2019-11-01 23:39:29,"RT @LaQuetteWrites: The acting was great. This is not about performance, but perspective.  It's a distilled version of the facts told throu…"
2019-11-01 23:39:05,RT @LaQuetteWrites: It's not until the end of the movie that she asserts (after Gideon has taken several trips down their shared history to…
2019-11-01 23:38:58,RT @LaQuetteWrites: It was essentially slavery for the dummy or the delicate white person who can't bear to be reminded of how cruel their…
2019-11-01 23:38:54,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:38:48,"RT @LaQuetteWrites: Three, there is this very white and obvious narrative of black slave trackers and bounty hunters being the real represe…"
2019-11-01 23:38:44,RT @LaQuetteWrites: It's not until the end of the movie that she asserts (after Gideon has taken several trips down their shared history to…
2019-11-01 23:38:42,"RT @LaQuetteWrites: Two, it implies that her master’s son, Gideon, the man who chases her for the whole movie is doing so because he has th…"
2019-11-01 23:38:40,"RT @LaQuetteWrites: Two, it implies that her master’s son, Gideon, the man who chases her for the whole movie is doing so because he has th…"
2019-11-01 23:38:27,"RT @LaQuetteWrites: One, there is very little resemblance to how slaves actually lived. Meaning, the brutality is missing, so white viewers…"
2019-11-01 23:38:13,"RT @LaQuetteWrites: One, there is very little resemblance to how slaves actually lived. Meaning, the brutality is missing, so white viewers…"
2019-11-01 23:38:12,I just called and my dad and Roz at the #HarrietMovie . 😒
2019-11-01 23:37:54,"RT @LaQuetteWrites: One, there is very little resemblance to how slaves actually lived. Meaning, the brutality is missing, so white viewers…"
2019-11-01 23:37:53,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:37:48,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:36:53,"RT @LaQuetteWrites: Again, it’s  also problematic because its gaze makes blacks co-conspirators in their own bondage by making Harriet’s ad…"
2019-11-01 23:36:48,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:36:33,"RT @LaQuetteWrites: One, there is very little resemblance to how slaves actually lived. Meaning, the brutality is missing, so white viewers…"
2019-11-01 23:36:23,"RT @LaQuetteWrites: Three, there is this very white and obvious narrative of black slave trackers and bounty hunters being the real represe…"
2019-11-01 23:36:18,RT @LaQuetteWrites: It was essentially slavery for the dummy or the delicate white person who can't bear to be reminded of how cruel their…
2019-11-01 23:36:14,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:36:10,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:36:03,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:35:58,RT @LaQuetteWrites: I am thoroughly convinced that Alex Haley’s Roots (the original and the remake) are the boldest adaptations of the horr…
2019-11-01 23:35:58,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 23:35:39,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:34:44,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:34:03,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:33:57,RT @LaQuetteWrites: I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortunate…
2019-11-01 23:33:31,RT @thelastjamal: #HarrietMovie is a no for me dawg😔 I can’t believe I’m saying this...as a Black Person in America we shouldn’t be support…
2019-11-01 23:33:09,"RT @ManUpUAll: @DebDaughter @KCliffLarson and, And, ANd, AND from this review of #HarrietMovie #CynthiaErivo portrayed the beloved ancestor…"
2019-11-01 23:32:57,"RT @ManUpUAll: @DebDaughter @KCliffLarson and, And, ANd, AND Worse rrom this review #HarrietMovie portrays #ToxicBlackMasculinity #MeToo ev…"
2019-11-01 23:31:43,"@DebDaughter @KCliffLarson and, And, ANd, AND from this review of #HarrietMovie #CynthiaErivo portrayed the beloved… https://t.co/lG0T6NVKOP"
2019-11-01 23:28:06,One thing that can be gained from the #HarrietMovie is learning to pray. Harriet heard and spoke to God! Powerful flick!
2019-11-01 23:27:57,"RT @MCDebbieD: Hip hop 1987. I laid the track to Evolution, 1st rap record on the story of the legendary #HarrietTubman! @HarrietFilm.  Tha…"
2019-11-01 23:27:32,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 23:26:46,"Hip hop 1987. I laid the track to Evolution, 1st rap record on the story of the legendary #HarrietTubman!… https://t.co/LWnaQh016M"
2019-11-01 23:26:22,Glossing over a very real history is problematic and disrespectful.  It's also dangerous in times like these when o… https://t.co/4EdaY37iwp
2019-11-01 23:26:19,This is why critical analysis of the media and literature we consume is so important. If you don't recognize when t… https://t.co/lExMEH9NSQ
2019-11-01 23:26:15,"Again, it’s  also problematic because its gaze makes blacks co-conspirators in their own bondage by making Harriet’… https://t.co/uLkdjgMBME"
2019-11-01 23:26:11,"The acting was great. This is not about performance, but perspective.  It's a distilled version of the facts told t… https://t.co/hQVgEvHlJW"
2019-11-01 23:26:07,It was essentially slavery for the dummy or the delicate white person who can't bear to be reminded of how cruel th… https://t.co/HFnbt9rrmF
2019-11-01 23:26:04,"Three, there is this very white and obvious narrative of black slave trackers and bounty hunters being the real rep… https://t.co/nEhmEIjj6c"
2019-11-01 23:26:00,It's not until the end of the movie that she asserts (after Gideon has taken several trips down their shared histor… https://t.co/V8p8dJITBq
2019-11-01 23:25:57,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 23:25:56,"Two, it implies that her master’s son, Gideon, the man who chases her for the whole movie is doing so because he ha… https://t.co/GmZazs41eY"
2019-11-01 23:25:53,"One, there is very little resemblance to how slaves actually lived. Meaning, the brutality is missing, so white vie… https://t.co/weeRmCuHKg"
2019-11-01 23:25:51,I was hoping Harriet would maintain the integrity of the history of enslaved people as Haley’s version did. Unfortu… https://t.co/37RURTWZ63
2019-11-01 23:25:50,I am thoroughly convinced that Alex Haley’s Roots (the original and the remake) are the boldest adaptations of the… https://t.co/RW0I4gfh1g
2019-11-01 23:25:48,"RT @VictorJMooney: @ErinFitzgerald @CynthiaEriVo The #HarrietMovie was great! Help us rename the Virginia Inside Passage (#VA-#MD-#DE, 68 N…"
2019-11-01 23:24:31,RT @BougieBlackGurl: That #harrietmovie wasn't for us even though the villain wasn't White supremacy or even her enslavers but a Black man…
2019-11-01 23:24:24,"@DebDaughter @KCliffLarson and, And, ANd, AND Worse rrom this review #HarrietMovie portrays #ToxicBlackMasculinity… https://t.co/AfLAG13tLt"
2019-11-01 23:24:04,"@Alethas3019 @DebDaughter @KCliffLarson and, And, ANd, AND Worse rrom this review #HarrietMovie portrays… https://t.co/CCQKpNzbsA"
2019-11-01 23:22:35,"So why are people so upset that there was a black bounty hunter? Thats not so far fetch, look at how they caught th… https://t.co/MEjCBt4bUf"
2019-11-01 23:22:21,RT @ManUpUAll: @Behembaba Worse than that from this review of #HarrietMovie portrays #ToxicBlackMasculinity #MeToo events!  #HarrietDeserve…
2019-11-01 23:21:23,"@NoahBodi @princss6 @Chad_Boogie Watch Out!
The White Supremacist will charge you for the #HarrietMovie when you bu… https://t.co/HynFBMuhsU"
2019-11-01 23:20:47,"@Lescambro @UMFF @HarrietFilm The #HarrietMovie was great! Help us rename the Virginia Inside Passage (#VA-#MD-#DE,… https://t.co/M69QBu2gxJ"
2019-11-01 23:20:05,@BougieBlackGurl I disagree. That Black villain wasn’t the highlight of the movie. The villain turn good guy who sa… https://t.co/jeuECocEJf
2019-11-01 23:19:40,"RT @isierranichole: Ok. Just took my seat to see #HarrietMovie and the theater is filled with White folks, 1 Black man, and me - mostly ove…"
2019-11-01 23:19:34,"@ErinFitzgerald @CynthiaEriVo The #HarrietMovie was great! Help us rename the Virginia Inside Passage (#VA-#MD-#DE,… https://t.co/XVsNXmpylM"
2019-11-01 23:19:23,RT @EpicRevolution4: White supremacists know they're iniquitously villainous but they like to downplay this reality in narrative cinema by…
2019-11-01 23:18:50,.@CynthiaEriVo your performance and voice is so powerful in the most important film I’ve seen this year. Thank you.… https://t.co/ELv1s2bA9T
2019-11-01 23:18:24,"RT @tonetalks: This film creates a fictional black male bounty hunter to chase Tubman &amp; ⁦@kcarterjackson⁩ says: #HarrietMovie places ""black…"
2019-11-01 23:17:43,RT @UMFF: We were taking a crew to see #HarrietMovie but just got word the villain in the movie is a black male bounty hunter. We'll sit th…
2019-11-01 23:16:40,"RT @tonetalks: This film creates a fictional black male bounty hunter to chase Tubman &amp; ⁦@kcarterjackson⁩ says: #HarrietMovie places ""black…"
2019-11-01 23:16:18,@UMFF The #HarrietMovie was so much more than this.  It’s definitely worth seeing.  @HarrietFilm #HarrietFilm #CynthiaErivo
2019-11-01 23:16:07,@Behembaba Worse than that from this review of #HarrietMovie portrays #ToxicBlackMasculinity #MeToo events!… https://t.co/OfLH7bWPjS
2019-11-01 23:15:41,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 23:15:22,"In 1944, @USNavy honored #HarrietTubman with a SS Tubman ship, with your help let’s rename Virginia Inside Passage… https://t.co/j1c0tsUUx5"
2019-11-01 23:13:38,"@NoahBodi @princss6 @Chad_Boogie @Fandango,@RottenTomatoes. NO sane #ADOS is Enjoying this movie. Great Job pushing… https://t.co/qXuFF9u1oS"
2019-11-01 23:12:53,"RT @BrigitteCamill4: Going in to see the #HarrietMovie!!!
#Timeless #SaveTimeless

@AMCTheatres https://t.co/x7McYcm5Bh"
2019-11-01 23:12:25,"RT @ochosidaughter: My little one and I went to see #HarrietMovie and she had such pointed questions. She walked away saying, “Mommy, I can…"
2019-11-01 23:10:53,"@NoahBodi @princss6 @Chad_Boogie Horrible Racist Movie!
@FocusFeatures and @comcast are Monsters and Bullies!… https://t.co/cB3JoUNvNy"
2019-11-01 23:10:12,RT @UMFF: We were taking a crew to see #HarrietMovie but just got word the villain in the movie is a black male bounty hunter. We'll sit th…
2019-11-01 23:09:53,RT @KadianKay2: Black men always had a issue with black women. That's why they are the first to date outside their race. So a black bounty…
2019-11-01 23:08:17,I hope #HarrietMovie FLOPS!!!
2019-11-01 23:08:14,"RT @Rookie_Chi: So far everything I’m hearing about the #HarrietMovie is all wrong:

1. Harriet is Played By a Brittosh actress 🤦🏾‍♂️
2. Ha…"
2019-11-01 23:06:30,RT @UMFF: We were taking a crew to see #HarrietMovie but just got word the villain in the movie is a black male bounty hunter. We'll sit th…
2019-11-01 23:06:19,"@princss6 Hands Down! @comcast wins the Most Racists Corporation of the year!
@RottenTomatoes 
@IMDb #IMDb… https://t.co/sTWCZAXogf"
2019-11-01 23:04:55,"My little one and I went to see #HarrietMovie and she had such pointed questions. She walked away saying, “Mommy, I… https://t.co/hl2n867UAL"
2019-11-01 23:04:26,New Full Content Parental Review:  Harriet (https://t.co/iAvkbsgUfl) Drama: A runaway slave escapes to the North an… https://t.co/DRYQIbai4r
2019-11-01 23:04:26,Black men always had a issue with black women. That's why they are the first to date outside their race. So a black… https://t.co/0RPbAbPvg9
2019-11-01 23:03:48,RT @UMFF: We were taking a crew to see #HarrietMovie but just got word the villain in the movie is a black male bounty hunter. We'll sit th…
2019-11-01 23:01:43,"RT @tonetalks: This film creates a fictional black male bounty hunter to chase Tubman &amp; ⁦@kcarterjackson⁩ says: #HarrietMovie places ""black…"
2019-11-01 23:01:13,"@GraceRandolph Excited about the Ant Man updates! Also, just got a chance to see Harriet. Was moved to tears and lo… https://t.co/Zgn0KSFpYh"
2019-11-01 23:00:55,@karenhunter you are on point about #HarrietMovie . It is the quality of her acting.that bring Harriet to life .So… https://t.co/I2rQiwpAwb
2019-11-01 23:00:14,"Im going to see the harriet movie tonight. I see people saying the movie made a black man the ""villain"" but let's n… https://t.co/8xJqJTgPSt"
2019-11-01 22:59:23,Hollywood always tries to insert a white character into a “black movie” so white people will be interested. That’s… https://t.co/vXkq9md2c1
2019-11-01 22:59:09,"Harriet was so good thoroughly enjoyed it. It had me pissed but I should be and was, but it had me and everybody el… https://t.co/R2OD1ntzSg"
2019-11-01 22:57:57,Going to see #HarrietMovie tonight and I am so ready for this!
2019-11-01 22:56:40,RT @Amazon_Queenn: Shouldn't you be protesting this movie seeing as @comcast is trying gut our civil rights act of 1866? @NatUrbanLeague @M…
2019-11-01 22:56:35,RT @kcarterjackson: My latest on the movie #HarrietMovie. I hope it will be seen widely! https://t.co/imPiRd3xEc
2019-11-01 22:56:31,"RT @BrigitteCamill4: Going in to see the #HarrietMovie!!!
#Timeless #SaveTimeless

@AMCTheatres https://t.co/x7McYcm5Bh"
2019-11-01 22:56:04,I want to see Harriet in theaters I just have no idea how you reduce such a remarkable person to 2 hours of screent… https://t.co/c1rYTrTWNu
2019-11-01 22:55:57,RT @EpicRevolution4: White supremacists know they're iniquitously villainous but they like to downplay this reality in narrative cinema by…
2019-11-01 22:55:55,"Man the pride that I feel seeing @HarrietFilm is crazy. My ancestors were slaves on the Eastern Shore, Cambridge Ma… https://t.co/AokjIVJFvc"
2019-11-01 22:55:06,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 22:54:30,Movie date ❤️ #HarrietMovie
2019-11-01 22:54:16,RT @kerrywashington: I cannot wait to see the brilliant @CynthiaEriVo in #HarrietMovie. And P.S. #ProudWifeyTweet (Nnamdi is an executive p…
2019-11-01 22:54:06,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 22:54:03,"RT @tonetalks: This film creates a fictional black male bounty hunter to chase Tubman &amp; ⁦@kcarterjackson⁩ says: #HarrietMovie places ""black…"
2019-11-01 22:51:41,Just finished seeing Harriet and everyone needs to go see it! That movie was amazing! @HarrietFilm #HarrietMovie #Harriet
2019-11-01 22:51:16,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 22:50:12,RT @rodimusprime: Anyways. Just saw #HarrietMovie and I liked it. Theater of nothing but black people applauded at the end. I didn’t clap b…
2019-11-01 22:47:57,RT @AfroPlexx: @maseratigigi @WashingtonKaye The director of the #HarrietMovie @kasi_lemmons also directed the “Eve’s Bayou” movie. She see…
2019-11-01 22:46:59,"Man, I might got see this #HarrietMovie movie just to throw something at it. 

If there's one bright side, hopefull… https://t.co/m9zqRI3Yek"
2019-11-01 22:45:57,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
2019-11-01 22:45:07,About to watch #HarrietMovie 🎬🎥🙌🏽
2019-11-01 22:43:06,RT @UMFF: We were taking a crew to see #HarrietMovie but just got word the villain in the movie is a black male bounty hunter. We'll sit th…
2019-11-01 22:41:43,Film: Kasi Lemmons and the Spiritual Journey of the #HarrietMovie. @HuffPost https://t.co/4duklAInrG
2019-11-01 22:41:29,RT @Amazon_Queenn: Shouldn't you be protesting this movie seeing as @comcast is trying gut our civil rights act of 1866? @NatUrbanLeague @M…
2019-11-01 22:40:38,.@CynthiaEriVo explains why she wanted to do her own stunts for #HarrietMovie https://t.co/zAFR34XQEW
2019-11-01 22:37:26,"Going in to see the #HarrietMovie!!!
#Timeless #SaveTimeless

@AMCTheatres https://t.co/x7McYcm5Bh"
2019-11-01 22:37:05,"@AngelaAlexisxo @JanelleMonae The #HarrietMovie was great! Help us rename the Virginia Inside Passage (#VA-#MD-#DE,… https://t.co/9EUChNou9F"
2019-11-01 22:36:24,"@jae_15 The #HarrietMovie was great! Help us rename the Virginia Inside Passage (#VA-#MD-#DE, 68 NM) to… https://t.co/Xtz6q6So4J"
2019-11-01 22:35:12,"RT @AfroPlexx: Instead of telling the true story of #HarrietTubman, @kasi_lemmons and others put out this trash  #HarrietMovie, where a Bla…"
