time,content,Cleaned,Sentiment_polarity,Sentiment_subjectivity
2019-10-30 23:37:32,It is tea. My Granddaddy promoted the Coffee to get us away from ENGLAND. I'm healing one day at a time. I'm thinki… https://t.co/EKN5xw0Bdl,tea granddaddy promoted coffee u away england healing one day time thinki,0.0,0.0
2019-10-30 23:15:46,#TwilightBreakingDawn actually used de-aging technology first in the final scene of Bella’s transformation into a… https://t.co/G2jYRNu9Bl,twilightbreakingdawn actually used de aging technology first final scene bella transformation,0.08333333333333333,0.4777777777777778
2019-10-30 23:01:18,"RT @jacklgoldsmith: Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the lead H…",jacklgoldsmith scorsese theirishman open weekend take book based report lead h,0.0,0.5
2019-10-30 22:59:53,"RT @jacklgoldsmith: Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the lead H…",jacklgoldsmith scorsese theirishman open weekend take book based report lead h,0.0,0.5
2019-10-30 22:59:00,"RT @jacklgoldsmith: Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the lead H…",jacklgoldsmith scorsese theirishman open weekend take book based report lead h,0.0,0.5
2019-10-30 22:55:14,"RT @jacklgoldsmith: Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the lead H…",jacklgoldsmith scorsese theirishman open weekend take book based report lead h,0.0,0.5
2019-10-30 22:53:46,"Scorsese's #TheIrishman opens this weekend.  Here is my take on the book on which it is based.  As I report, the le… https://t.co/4u2eJ3Eewb",scorsese theirishman open weekend take book based report le,0.0,0.5
2019-10-30 22:35:04,"Starting tomorrow don't miss one of the most anticipated films of the year, Martin Scorsese's #TheIrishman. Check o… https://t.co/VqEGJYrzYT",starting tomorrow miss one anticipated film year martin scorsese theirishman check,0.0,0.1
2019-10-30 22:33:47,"RT @TweetTastings: If you registered for our latest @WalshWhiskey @TweetTastings keep your eyes peeled tomorrow, as we'll be selecting and…",tweettastings registered latest walshwhiskey tweettastings keep eye peeled tomorrow selecting,0.5,0.9
2019-10-30 22:27:26,"RT @Variety: #TheIrishman composer Robbie Robertson opens up about his relationship with Martin Scorsese, and what the director always tell…",variety theirishman composer robbie robertson open relationship martin scorsese director always tell,0.0,0.5
2019-10-30 22:15:37,"RT @Variety: The #Oscars race has started. In contention for best picture?
#Joker
#LittleWomen
#UncutGems
#TheIrishman
#TheLighthouse
#Hust…",variety oscar race started contention best picture joker littlewomen uncutgems theirishman thelighthouse hust,1.0,0.3
2019-10-30 22:10:46,"RT @TODAYshow: Watch @HarrySmith's full interview with #TheIrishman stars Al Pacino, Robert De Niro and Ray Romano. https://t.co/F5XdExVMwB",todayshow watch harrysmith full interview theirishman star al pacino robert de niro ray romano,0.35,0.55
2019-10-30 22:08:32,"RT @cltfilmsociety: @TheIrishmanFilm Yes! We will be screening Scorsese's #theirishman December 2, 3,4 at 7pm. @ayrsleygrand Tickets $9/12…",cltfilmsociety theirishmanfilm yes screening scorsese theirishman december pm ayrsleygrand ticket,0.0,0.0
